operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QSKINNY.InPlace.SkinnySbox, 128, 38, 56, 0, 0, 4, 8, 4, tower_field = false, 33
QSKINNY.InPlace.SubCells, 2048, 608, 896, 0, 0, 4, 128, 4, state size is the same for all, 33
QSKINNY.InPlace.AddConstants, 0, 4, 0, 0, 0, 0, 128, 0, in_place = true - state size is the same for all, 1
QSKINNY.InPlace.AddRoundTweakey, 64, 0, 0, 0, 0, 0, 256, 0, widest = true - state size is the same for all, 4
QSKINNY.InPlace.AddRoundTweakey_z2, 128, 0, 0, 0, 0, 0, 384, 0, widest = true - state size is the same for all, 8
QSKINNY.InPlace.AddRoundTweakey_z3, 192, 0, 0, 0, 0, 0, 512, 0, widest = true - state size is the same for all, 12
QSKINNY.InPlace.TweakeyUpdate, 0, 0, 0, 0, 0, 0, 128, 0, in_place = true, round = 40, , 0
QSKINNY.InPlace.TweakeyUpdate_2, 8, 0, 0, 0, 0, 0, 128, 0, in_place = true, round = 40, , 2
QSKINNY.InPlace.TweakeyUpdate_3, 8, 0, 0, 0, 0, 0, 128, 0, in_place = true, round = 40, , 2
QSKINNY.InPlace.ShiftRows, 0, 0, 0, 0, 0, 0, 128, 0, widest = true - state size is the same for all, 0
QSKINNY.InPlace.MixWord, 48, 0, 0, 0, 0, 0, 32, 0, widest = true - state size is the same for all, 5
QSKINNY.InPlace.MixColumns, 192, 0, 0, 0, 0, 0, 128, 0, widest = true - state size is the same for all, 5
QSKINNY_128_128.Round, 2304, 609, 896, 0, 0, 4, 256, 4, state size is the same for all, 42
QSKINNY_128_128.Round, 2304, 610, 896, 0, 0, 4, 256, 4, round = 1, 42
QSKINNY_128_128.Round, 2304, 611, 896, 0, 0, 4, 256, 4, round = 2, 42
QSKINNY_128_128.Round, 2304, 612, 896, 0, 0, 4, 256, 4, round = 3, 42
QSKINNY_128_128.Round, 2304, 613, 896, 0, 0, 4, 256, 4, round = 4, 42
QSKINNY_128_128.Round, 2304, 614, 896, 0, 0, 4, 256, 4, round = 5, 42
QSKINNY_128_128.Round, 2304, 615, 896, 0, 0, 4, 256, 4, round = 6, 42
QSKINNY_128_128.Round, 2304, 614, 896, 0, 0, 4, 256, 4, round = 7, 42
QSKINNY_128_128.Round, 2304, 614, 896, 0, 0, 4, 256, 4, round = 8, 42
QSKINNY_128_128.Round, 2304, 614, 896, 0, 0, 4, 256, 4, round = 9, 42
QSKINNY_128_128.Round, 2304, 614, 896, 0, 0, 4, 256, 4, round = 10, 42
QSKINNY_128_128.Round, 2304, 613, 896, 0, 0, 4, 256, 4, round = 11, 42
QSKINNY_128_128.Round, 2304, 613, 896, 0, 0, 4, 256, 4, round = 12, 42
QSKINNY_128_128.Round, 2304, 613, 896, 0, 0, 4, 256, 4, round = 13, 42
