operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QSKINNY.InPlace.SkinnySbox, 64, 18, 28, 0, 0, 4, 4, 4, tower_field = false, 32
QSKINNY.InPlace.SubCells, 1024, 288, 448, 0, 0, 4, 64, 4, state size is the same for all, 32
QSKINNY.InPlace.AddConstants, 0, 4, 0, 0, 0, 0, 64, 0, in_place = true - state size is the same for all, 1
QSKINNY.InPlace.AddRoundTweakey, 32, 0, 0, 0, 0, 0, 128, 0, widest = true - state size is the same for all, 4
QSKINNY.InPlace.AddRoundTweakey_z2, 64, 0, 0, 0, 0, 0, 192, 0, widest = true - state size is the same for all, 8
QSKINNY.InPlace.AddRoundTweakey_z3, 96, 0, 0, 0, 0, 0, 256, 0, widest = true - state size is the same for all, 12
QSKINNY.InPlace.TweakeyUpdate, 0, 0, 0, 0, 0, 0, 64, 0, in_place = true - round = 32, 0
QSKINNY.InPlace.TweakeyUpdate_2, 8, 0, 0, 0, 0, 0, 64, 0, in_place = true - round = 36, 3
QSKINNY.InPlace.TweakeyUpdate_3, 8, 0, 0, 0, 0, 0, 64, 0, in_place = true - round = 40, 8
QSKINNY.InPlace.ShiftRows, 0, 0, 0, 0, 0, 0, 64, 0, widest = true - state size is the same for all, 0
QSKINNY.InPlace.MixHalfWord, 24, 0, 0, 0, 0, 0, 16, 0, widest = true - state size is the same for all, 5
QSKINNY.InPlace.MixColumns, 96, 0, 0, 0, 0, 0, 64, 0, widest = true - state size is the same for all, 5
QSKINNY_64_64.Round, 1152, 289, 448, 0, 0, 4, 128, 4, state size is the same for all, 41
QSKINNY_64_64.Round, 1152, 290, 448, 0, 0, 4, 128, 4, round = 1, 41
QSKINNY_64_64.Round, 1152, 291, 448, 0, 0, 4, 128, 4, round = 2, 41
QSKINNY_64_64.Round, 1152, 292, 448, 0, 0, 4, 128, 4, round = 3, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 4, 41
QSKINNY_64_64.Round, 1152, 294, 448, 0, 0, 4, 128, 4, round = 5, 41
QSKINNY_64_64.Round, 1152, 295, 448, 0, 0, 4, 128, 4, round = 6, 41
QSKINNY_64_64.Round, 1152, 294, 448, 0, 0, 4, 128, 4, round = 7, 41
QSKINNY_64_64.Round, 1152, 294, 448, 0, 0, 4, 128, 4, round = 8, 41
QSKINNY_64_64.Round, 1152, 294, 448, 0, 0, 4, 128, 4, round = 9, 41
QSKINNY_64_64.Round, 1152, 294, 448, 0, 0, 4, 128, 4, round = 10, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 11, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 12, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 13, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 14, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 15, 41
QSKINNY_64_64.Round, 1152, 292, 448, 0, 0, 4, 128, 4, round = 16, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 17, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 18, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 19, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 20, 41
QSKINNY_64_64.Round, 1152, 292, 448, 0, 0, 4, 128, 4, round = 21, 41
QSKINNY_64_64.Round, 1152, 292, 448, 0, 0, 4, 128, 4, round = 22, 41
QSKINNY_64_64.Round, 1152, 291, 448, 0, 0, 4, 128, 4, round = 23, 41
QSKINNY_64_64.Round, 1152, 291, 448, 0, 0, 4, 128, 4, round = 24, 41
QSKINNY_64_64.Round, 1152, 291, 448, 0, 0, 4, 128, 4, round = 25, 41
QSKINNY_64_64.Round, 1152, 290, 448, 0, 0, 4, 128, 4, round = 26, 41
QSKINNY_64_64.Round, 1152, 291, 448, 0, 0, 4, 128, 4, round = 27, 41
QSKINNY_64_64.Round, 1152, 292, 448, 0, 0, 4, 128, 4, round = 28, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 29, 41
QSKINNY_64_64.Round, 1152, 293, 448, 0, 0, 4, 128, 4, round = 30, 41
QSKINNY_64_64.Round, 1152, 292, 448, 0, 0, 4, 128, 4, round = 31, 41
QSKINNY_64_64.Round, 1152, 292, 448, 0, 0, 4, 128, 4, round = 32, 41
QSKINNY_64_128.Round, 1192, 290, 448, 0, 0, 4, 192, 4, round = 1, 41
QSKINNY_64_128.Round, 1192, 291, 448, 0, 0, 4, 192, 4, round = 2, 41
QSKINNY_64_128.Round, 1192, 292, 448, 0, 0, 4, 192, 4, round = 3, 41
QSKINNY_64_128.Round, 1192, 293, 448, 0, 0, 4, 192, 4, round = 4, 41
QSKINNY_64_128.Round, 1192, 294, 448, 0, 0, 4, 192, 4, round = 5, 41
QSKINNY_64_128.Round, 1192, 295, 448, 0, 0, 4, 192, 4, round = 6, 41
QSKINNY_64_128.Round, 1192, 294, 448, 0, 0, 4, 192, 4, round = 7, 41
QSKINNY_64_128.Round, 1192, 294, 448, 0, 0, 4, 192, 4, round = 8, 41
QSKINNY_64_128.Round, 1192, 294, 448, 0, 0, 4, 192, 4, round = 9, 41
